day,month,year,deaths
1,SEP,2015,75
2,SEP,2015,77
3,SEP,2015,67
4,SEP,2015,71
5,SEP,2015,62
6,SEP,2015,77
7,SEP,2015,85
8,SEP,2015,84
9,SEP,2015,79
10,SEP,2015,66
11,SEP,2015,92
12,SEP,2015,79
13,SEP,2015,81
14,SEP,2015,70
15,SEP,2015,87
16,SEP,2015,70
17,SEP,2015,70
18,SEP,2015,76
19,SEP,2015,81
20,SEP,2015,69
21,SEP,2015,70
22,SEP,2015,68
23,SEP,2015,70
24,SEP,2015,78
25,SEP,2015,60
26,SEP,2015,76
27,SEP,2015,78
28,SEP,2015,84
29,SEP,2015,83
30,SEP,2015,73
1,SEP,2016,75
2,SEP,2016,67
3,SEP,2016,78
4,SEP,2016,99
5,SEP,2016,89
6,SEP,2016,74
7,SEP,2016,67
8,SEP,2016,77
9,SEP,2016,90
10,SEP,2016,73
11,SEP,2016,78
12,SEP,2016,66
13,SEP,2016,88
14,SEP,2016,81
15,SEP,2016,91
16,SEP,2016,71
17,SEP,2016,68
18,SEP,2016,79
19,SEP,2016,82
20,SEP,2016,79
21,SEP,2016,67
22,SEP,2016,97
23,SEP,2016,71
24,SEP,2016,79
25,SEP,2016,75
26,SEP,2016,82
27,SEP,2016,82
28,SEP,2016,81
29,SEP,2016,70
30,SEP,2016,91
1,SEP,2017,94
2,SEP,2017,69
3,SEP,2017,80
4,SEP,2017,84
5,SEP,2017,74
6,SEP,2017,83
7,SEP,2017,87
8,SEP,2017,94
9,SEP,2017,72
10,SEP,2017,98
11,SEP,2017,92
12,SEP,2017,80
13,SEP,2017,100
14,SEP,2017,79
15,SEP,2017,84
16,SEP,2017,80
17,SEP,2017,88
18,SEP,2017,78
19,SEP,2017,75
20,SEP,2017,106
21,SEP,2017,124
22,SEP,2017,110
23,SEP,2017,109
24,SEP,2017,122
25,SEP,2017,137
26,SEP,2017,132
27,SEP,2017,122
28,SEP,2017,112
29,SEP,2017,131
30,SEP,2017,132
1,SEP,2018,0
2,SEP,2018,0
3,SEP,2018,0
4,SEP,2018,0
5,SEP,2018,0
6,SEP,2018,0
7,SEP,2018,0
8,SEP,2018,0
9,SEP,2018,0
10,SEP,2018,0
11,SEP,2018,0
12,SEP,2018,0
13,SEP,2018,0
14,SEP,2018,0
15,SEP,2018,0
16,SEP,2018,0
17,SEP,2018,0
18,SEP,2018,0
19,SEP,2018,0
20,SEP,2018,0
21,SEP,2018,0
22,SEP,2018,0
23,SEP,2018,0
24,SEP,2018,0
25,SEP,2018,0
26,SEP,2018,0
27,SEP,2018,0
28,SEP,2018,0
29,SEP,2018,0
30,SEP,2018,0
